clip_id,youtube_id,start_time,end_time,action,adverb,sentence,clustered_action,clustered_adverb,rgb_frames,action_adv,adverb_label,action_label,action_adv_label
v_vgC8jB2FhAg_53_56,vgC8jB2FhAg,53.1,56.76,bend,backwards, They do the splits and bend backwards to touch the ground.,bend,backwards,75,"[('bend', 'backwards')]",0,25,53
v_qf5wMRlZYnQ_55_231,qf5wMRlZYnQ,55.61,231.69,bend,backwards, She continues the routine and ends by shaking her hair around and bending backwards to pose.,bend,backwards,4400,"[('bend', 'backwards')]",0,25,53
v_tGHLUWWm_zU_170_175,tGHLUWWm_zU,170.67,175.36,bend,forwards, The man bends forwards again.,bend,forwards,151,"[('bend', 'forwards')]",4,25,35
v__ao0UwSJHWA_55_166,_ao0UwSJHWA,55.64,166.91,bend,forward, The man then bends forward onto the ball while still speaking to the camera.,bend,forwards,3331,"[('bend', 'forwards')]",4,25,35
v_dNgXkPmvU-c_169_172,dNgXkPmvU-c,169.51,172.97,bend,forwards, The man bends forwards and turns off the camera.,bend,forwards,93,"[('bend', 'forwards')]",4,25,35
v_35DlDj_hzvg_0_6,35DlDj_hzvg,0.27,6.28,bend,forward,A man is seen bending forward and holding onto a set of weights while gripping tightly.,bend,forwards,90,"[('bend', 'forwards')]",4,25,35
v_5ZmZr2bguy0_0_21,5ZmZr2bguy0,0.0,21.38,bend,forward,A woman is seen standing in a large circle and bending herself forward.,bend,forwards,630,"[('bend', 'forwards')]",4,25,35
v_t04jE7d0Obw_161_175,t04jE7d0Obw,161.16,175.17,bend,forward, The man bends the woman forward looking at her chest two times and almost puts his hand on her neck.,bend,forwards,353,"[('bend', 'forwards')]",4,25,35
v_AeOUzM7nl5w_17_51,AeOUzM7nl5w,17.54,51.81,bend,forward, She then puts the lens in her eye and bends forward.,bend,forwards,1022,"[('bend', 'forwards')]",4,25,35
v_MmYNcmba_Ps_12_29,MmYNcmba_Ps,12.97,29.6,bend,forward, The girl bends forward and performs a dive into the pool while the camera pans back to a scoreboard.,bend,forwards,410,"[('bend', 'forwards')]",4,25,35
v_b_iUgvzb1-0_0_27,b_iUgvzb1-0,0.0,27.56,bend,forward,A woman bends forward extending her left left arm on front and raising her leg up while having the right hand over her shoulder.,bend,forwards,810,"[('bend', 'forwards')]",4,25,35
v_rlH9RkelqHk_0_8,rlH9RkelqHk,0.0,8.65,bend,forward,A person's feet are show followed by a woman putting shoes over her socks and bending forward.,bend,forwards,241,"[('bend', 'forwards')]",4,25,35
v_GvJxJf4m6_M_0_21,GvJxJf4m6_M,0.0,21.19,bend,forward,A man is seen speaking to the camera and bends forward pointing to his back.,bend,forwards,631,"[('bend', 'forwards')]",4,25,35
v_5zT1GWfmVLU_3_9,5zT1GWfmVLU,3.22,9.17,bend,forward, The left boy kick the right then jumps on his back while he bends forward.,bend,forwards,151,"[('bend', 'forwards')]",4,25,35
v_aVL9ArQS_Ag_49_137,aVL9ArQS_Ag,49.99,137.99,brush,thoroughly," Then, the man put a clothe inside the boot and brush the shaft of the boot thoroughly.",brush,completely,2203,"[('brush', 'completely')]",17,33,101
v_Lyaozxv4_qU_16_18,Lyaozxv4_qU,16.36,18.46,cut,briefly, The camera cuts back to the first man briefly before returning to the leaf blower man.,cut,partially,62,"[('cut', 'partially')]",9,26,549
v_mZ1Di2gg-I4_5_43,mZ1Di2gg-I4,5.23,43.9,look,almost,The woman slowly starts to move and does various karate movements in slow motion that it almost looks like a dance.,look,partially,1141,"[('look', 'partially')]",9,2,583
v_tyjUDi3uLd0_11_43,tyjUDi3uLd0,11.8,43.64,prepare,partially," A real man appears in a partially prepared room, and begins talking about the tiled floor.",make,partially,960,"[('make', 'partially')]",9,37,216
v_3osNjmYjTGg_7_28,3osNjmYjTGg,7.8,28.09,make,barely, The man just barely makes his body over the rope.,make,partially,632,"[('make', 'partially')]",9,37,216
v_Y6rHCVo28kM_33_116,Y6rHCVo28kM,33.17,116.82,comb,continuously, She continuously combs his hair and measures it along the side.,brush,continuously,2488,"[('brush', 'continuously')]",7,33,16
v_ZW3SKczQzJU_38_102,ZW3SKczQzJU,38.13,102.82,brush,continuously, The person pours toothpaste out onto a brush and continuously brushes his teeth.,brush,continuously,1602,"[('brush', 'continuously')]",7,33,16
