clip_id,youtube_id,start_time,end_time,action,adverb,sentence,clustered_action,clustered_adverb,rgb_frames,action_adv,adverb_label,action_label,action_adv_label
K7ryTGjLOLo_000004_000014,K7ryTGjLOLo,4.0,14.0,land,accurately,A man is shown flicking a fishing rod to demonstrate how to have it land accurately.,land,carefully,302,"[('land', 'carefully')]",9,63,469
ldQB94TXVzU_000006_000016,ldQB94TXVzU,6.0,16.0,spin,fast,A man uses a fast spinning technique to throw a ball as far as he can over a field.,turn,quickly,250,"[('turn', 'quickly')]",1,6,535
JsIWl3AlQ3s_000012_000022,JsIWl3AlQ3s,12.0,22.0,swim,backwards,A man is swimming backwards in a large athletic swimming pool.,swim,backwards,301,"[('swim', 'backwards')]",3,35,1214
NBENwErUKfc_000160_000170,NBENwErUKfc,160.0,170.0,turn,quickly,A man runs across a bed of ice outdoors before turning his feet quickly to stop himself.,turn,quickly,301,"[('turn', 'quickly')]",1,6,535
7ot8nGyVrSM_000004_000014,7ot8nGyVrSM,4.0,14.0,ride,fast,A man is riding a snow mobile really fast then he jumps a hill on it.,ride,quickly,144,"[('ride', 'quickly')]",1,5,255
_68m-lUElsA_000305_000315,_68m-lUElsA,305.0,315.0,pedal,slowly,Someone is weaving the cotton by slowly pedaling it in hand and saying something,pedal,slowly,301,"[('pedal', 'slowly')]",2,97,258
enXNprMU2CI_000000_000010,enXNprMU2CI,0.0,10.0,hold,inside,An outdoor fire is burning with someone holding a stick inside of the flame.,hold,indoor,300,"[('hold', 'indoor')]",5,26,536
JLHa1JBqH6E_000005_000015,JLHa1JBqH6E,5.0,15.0,climb,fast,A little girl is climbing up a rope very fast by her self.,climb,quickly,303,"[('climb', 'quickly')]",1,19,569
AxKiC7Soc6s_000022_000032,AxKiC7Soc6s,22.0,32.0,use,outside,Outside a man uses a large knife to cut through a stick.,use,outdoor,301,"[('use', 'outdoor')]",0,22,101
Cl55jmy9OHo_000013_000023,Cl55jmy9OHo,13.0,23.0,leap,up,"Man runs straight, curves toward poles, extends arms, leaps up, and twists body around.",jump,upwards,303,"[('jump', 'upwards')]",8,7,408
pE06YBla7p4_000005_000015,pE06YBla7p4,5.0,15.0,leap,up,"Man on tightrope leans to one side, regains balance, leaps up with wide legs, lands on tightrope, and slowly walks forward.",jump,upwards,300,"[('jump', 'upwards')]",8,7,408
OeZ-lhW90bs_000057_000067,OeZ-lhW90bs,57.0,67.0,step,outdoors,Outdoors an adult female is stepping through a hoola hoop then she starts hoola-ing with two hoola hoops.,step,outdoor,301,"[('step', 'outdoor')]",0,32,902
aYfq5ginO2w_000051_000061,aYfq5ginO2w,51.0,61.0,lay,outside,a couple of people out in the open laying bricks outside with cement,put,outdoor,240,"[('put', 'outdoor')]",0,8,194
F-pizgUsXkM_000008_000018,F-pizgUsXkM,8.0,18.0,bring,up,A woman performs a jumping jack in a gym while only bringing her arms up to parallel from the ground.,carry,upwards,302,"[('carry', 'upwards')]",8,45,456
xni8jethSns_000035_000045,xni8jethSns,35.0,45.0,cry,hard,A baby crying so hard they are making themseves caugh.,cry,firmly,214,"[('cry', 'firmly')]",13,75,648
nzsTUlCbzqk_000349_000359,nzsTUlCbzqk,349.0,359.0,install,properly,A man is demonstrating how to properly install a tire to a bicycle wheel.,install,properly,303,"[('install', 'properly')]",4,102,129
EbqwLivRk2I_000004_000014,EbqwLivRk2I,4.0,14.0,juggle,outdoors,A man juggles flaming torches outdoors until he drops them.,juggle,outdoor,68,"[('juggle', 'outdoor')]",0,53,942
yemHkmhVFqM_000001_000011,yemHkmhVFqM,1.0,11.0,throw,back,A teenager laughs at something on her phone as her mouth splits grotesquely wider and her jaws separate as her head is thrown back.,throw,backwards,229,"[('throw', 'backwards')]",3,11,89
SJrYL-FSOV8_000048_000058,SJrYL-FSOV8,48.0,58.0,sit,outside,A man sits outside on a terrace and plays the digeridoo.,sit,outdoor,250,"[('sit', 'outdoor')]",0,13,48
kLaJxux_1BU_000137_000147,kLaJxux_1BU,137.0,147.0,climb,down,Two people sitting atop a cliff as a third beings to climb down backwards.,climb,downwards,137,"[('climb', 'downwards')]",6,19,4
dNr1oLhZ0zs_000026_000036,dNr1oLhZ0zs,26.0,36.0,fold,neatly,A woman is laying a shirt on the floor to practice folding it neatly.,fold,neatly,291,"[('fold', 'neatly')]",20,30,801
_K_M1Dn6m4U_000000_000010,_K_M1Dn6m4U,0.0,10.0,fly,down,A young woman flies a paraglider from a seaside cliff down to the beach.,fly,downwards,300,"[('fly', 'downwards')]",6,55,176
FYVgES8zbXQ_000104_000114,FYVgES8zbXQ,104.0,114.0,sit,quietly,A little boy is sitting quietly in the parlor while the hairdresser is clipping his hair.,sit,quietly,301,"[('sit', 'quietly')]",23,13,138
LmFFDV_gemA_000066_000076,LmFFDV_gemA,66.0,76.0,ride,slowly,"A man slowly rides a horse forward a few steps, then gets off the horse and kneels down on the ground",ride,slowly,263,"[('ride', 'slowly')]",2,5,257
p2tqhvm8siQ_000243_000253,p2tqhvm8siQ,243.0,253.0,move,slowly,A group of people are securely hanging down a clif while slowly move downwards.,move,slowly,303,"[('move', 'slowly')]",2,1,12
2GAPlZ6gD8s_000038_000048,2GAPlZ6gD8s,38.0,48.0,juggle,outside,"Outside, on a front lawn, a young man is juggling three balls.",juggle,outdoor,300,"[('juggle', 'outdoor')]",0,53,942
0Scq964QSLQ_000029_000039,0Scq964QSLQ,29.0,39.0,move,forward,Car slowly moves forward and hits boy who is crossing street looking down at his cellphone.,move,forwards,299,"[('move', 'forwards')]",7,1,113
ByKHK1YkaIE_000021_000031,ByKHK1YkaIE,21.0,31.0,submerge,fully,A young girl in water plugs her nose and submerges herself fully in water.,dip,completely,302,"[('dip', 'completely')]",21,47,920
BuNbUVsQaLA_000067_000077,BuNbUVsQaLA,67.0,77.0,build,outside,A girl is building a snowman in the snow outside.,make,outdoor,301,"[('make', 'outdoor')]",0,20,162
Izlw44yzix4_000172_000182,Izlw44yzix4,172.0,182.0,prepare,carefully,A young person is shown carefully preparing a set of drums.,make,carefully,301,"[('make', 'carefully')]",9,20,122
OLgIEKie0hI_000026_000036,OLgIEKie0hI,26.0,36.0,push,in,"A boy is climbing out of a garbage dumpster and another boy runs over and either tries to push him back in or help him out, its hard to tell which.",press,in,286,"[('press', 'in')]",12,15,187
JCiMh0ocbjQ_000000_000010,JCiMh0ocbjQ,0.0,10.0,stop,suddenly,a baby in the car is crying then suddenly stop and dance when she hear the music,stop,instantly,189,"[('stop', 'instantly')]",17,73,650
RvY_ZVO8BuM_000027_000037,RvY_ZVO8BuM,27.0,37.0,push,down,A young boy sits on the floor with his legs crossed placing dominos in a line and pushes them down.,press,downwards,303,"[('press', 'downwards')]",6,15,245
1ELh09xeRw4_000002_000012,1ELh09xeRw4,2.0,12.0,run,fast,A man on a treadmill kicks off and then runs extremely fast on a treadmill.,run,quickly,250,"[('run', 'quickly')]",1,4,27
iNpZOj_WCxk_000000_000010,iNpZOj_WCxk,0.0,10.0,take,gently,A man takes a woman's feet gently and places them in a bowl of water.,take,gently,253,"[('take', 'gently')]",14,33,1094
3c2IGWJj2l0_000107_000117,3c2IGWJj2l0,107.0,117.0,dance,outside,People are dancing together outside as a group in pairs of two.,dance,outdoor,303,"[('dance', 'outdoor')]",0,14,54
xo_9xPRu7_4_000114_000124,xo_9xPRu7_4,114.0,124.0,smoke,inside,A woman is smoking some cigarettes inside of her car.,smoke,indoor,304,"[('smoke', 'indoor')]",5,91,1278
3vH5mnAy98Y_000016_000026,3vH5mnAy98Y,16.0,26.0,juggle,skillfully,A man skillfully juggles illuminated balls while performing tricks.,juggle,properly,291,"[('juggle', 'properly')]",4,53,169
KEwo4EK3B7k_000000_000010,KEwo4EK3B7k,0.0,10.0,move,slowly,A trash truck is moving slowly on the street while a worker hangs at the back of it.,move,slowly,300,"[('move', 'slowly')]",2,1,12
kKsldtkSkwM_000122_000132,kKsldtkSkwM,122.0,132.0,crease,carefully,"A person folds white paper, creasing it carefully, as music plays.",fold,carefully,300,"[('fold', 'carefully')]",9,30,803
