clip_id,youtube_id,start_time,end_time,action,adverb,sentence,clustered_action,clustered_adverb,rgb_frames,action_adv,adverb_label,action_label,action_adv_label
v_87pCIcWgwVM_167_205,87pCIcWgwVM,167.75,205.98,look,forward, More shots are shown of him jump roping while looking forward to the camera.,look,forwards,1141,"[('look', 'forwards')]",4,2,327
v_jFZRNe7xFY8_7_21,jFZRNe7xFY8,7.26,21.36,lower,down, Then he lowers himself down.,lower,downwards,280,"[('lower', 'downwards')]",2,62,367
v_G9m5zxl2f08_0_34,G9m5zxl2f08,0.0,34.35,press,up,A person is seen putting their hands in a sink full of dirty water and pressing his face up against the water.,press,upwards,1022,"[('press', 'upwards')]",5,15,366
v_9WmsYbZl1pw_45_54,9WmsYbZl1pw,45.07,54.55,stir,gently," Then there's a close up shot of a large knife that is crushing a bunch of garlic cloves that also get thrown into the pot and the seasonings and meat are gently stirred then quickly shows that the water is now boiling and text shows up that say's ""About one hour per pound"", and a lid gets put onto the pot.",mix,gently,272,"[('mix', 'gently')]",16,53,256
v_SSTom962aPk_56_84,SSTom962aPk,56.61,84.27,look,back, The man looks back to the barber speaking and smiles.,look,backwards,841,"[('look', 'backwards')]",0,2,2
v_iFwmJi-I5sg_16_53,iFwmJi-I5sg,16.49,53.78,walk,back, The man walks back several times and is shown continuing to throw the object.,walk,backwards,926,"[('walk', 'backwards')]",0,1,32
v_WY9zvUkK_4Y_53_184,WY9zvUkK_4Y,53.95,184.25,braid,continuously, One woman braids her hair continuously to eventually create a french braid.,weave,continuously,3930,"[('weave', 'continuously')]",7,48,14
v_HVfr9FnEj-Q_56_65,HVfr9FnEj-Q,56.61,65.1,toss,backwards, The ladies dip down and toss their hair backwards.,throw,backwards,225,"[('throw', 'backwards')]",0,9,3
v_c1tbdVxIhH4_5_36,c1tbdVxIhH4,5.49,36.04,stick,inside, The man turns the pumpkin on the side and the boy sticks his hand inside to scoop out some of the insides of the carved jack-o- lantern with a spoon.,stick,indoor,930,"[('stick', 'indoor')]",11,45,494
v_GBFRHM7i-NQ_28_99,GBFRHM7i-NQ,28.56,99.96,move,quickly, More people ride in on horses an the camera moves around quickly and changes to pictures of the bull.,move,quickly,2128,"[('move', 'quickly')]",1,0,81
v_f4UdgFrorCo_165_209,f4UdgFrorCo,165.24,209.17,walk,in,"As they continue,a girl walks in and stands in the corner shocked that the two are dancing.",walk,in,1101,"[('walk', 'in')]",6,1,36
v_ZbfYwmb39H0_47_192,ZbfYwmb39H0,47.09,192.22,move,back, He moves back and fourth a bit while moving the stick while still holding his arms up and speaking to the camera.,move,backwards,4350,"[('move', 'backwards')]",0,0,83
v_LMMimz1-fa0_35_88,LMMimz1-fa0,35.3,88.82,take,off, the boat takes off and shows several shots of people riding on wake boards and girls looking off into the distance.,take,off,1590,"[('take', 'off')]",13,28,133
v_0gw1Qq3WRbU_1_23,0gw1Qq3WRbU,1.15,23.53,flip,forward,"A woman jumps on the diving board, then she flips forward once and dive in the water.",turn,forwards,662,"[('turn', 'forwards')]",4,7,251
v_P6cR-26pTSY_159_171,P6cR-26pTSY,159.15,171.13,walk,back, The individuals finish their routine and walk back to the sides of the courtyard.,walk,backwards,360,"[('walk', 'backwards')]",0,1,32
v_hjDGz9OhwvM_107_129,hjDGz9OhwvM,107.45,129.45,look,off, She flips over the shirt to continue ironing and looks off into the distance.,look,off,663,"[('look', 'off')]",13,2,18
v_5qsXmDi8d74_0_26,5qsXmDi8d74,0.0,26.12,walk,slowly,"A sumo is slowly walking into an indoor arena where there a lot of spectators in the stands, and people already on the sumo wrestling stage.",walk,slowly,781,"[('walk', 'slowly')]",8,1,0
v_qvLFSqPCvn8_0_62,qvLFSqPCvn8,0.0,62.43,run,quickly,"A man grabs a tire from the back of the car and quickly runs to the front right of the car, drops it on the grass, then runs to the tire still on the car and begins to raise the car with a jack, and remove the lugs, rim and tire and throws them on the grass.",run,quickly,1845,"[('run', 'quickly')]",1,5,12
v_TNFoUBRsngY_40_58,TNFoUBRsngY,40.65,58.64,pull,forward, The team of girls gets pulled forward until the match is called.,pull,forwards,542,"[('pull', 'forwards')]",4,8,137
v_M_OPqcaCDYI_56_91,M_OPqcaCDYI,56.18,91.42,paddle,quickly," Once it is blown they begin to paddle as quickly as they possibly can, working very well together.",paddle,quickly,876,"[('paddle', 'quickly')]",1,30,140
v_yeWCfvmeUvM_0_16,yeWCfvmeUvM,0.56,16.28,move,back,A group of people are seen sitting on swings and moving back and fourth on the swings.,move,backwards,482,"[('move', 'backwards')]",0,0,83
v_kMHMdqkGRB4_15_41,kMHMdqkGRB4,15.1,41.2,jump,down, He then performs a gymnasts routine while swinging himself all around the bar and ends by jumping down.,jump,downwards,779,"[('jump', 'downwards')]",2,3,5
v_iE3I2ICIvHE_17_100,iE3I2ICIvHE,17.12,100.68,hold,up," The girl then performs several flips and tricks on the beam, ending with her jumping off the side with her legs together and holding her arms up.",hold,upwards,2489,"[('hold', 'upwards')]",5,31,67
v_xXGc5_0_2QI_18_27,xXGc5_0_2QI,18.14,27.64,walk,back, He gets off of his horse and brings the bull down and starts walking back to his horse.,walk,backwards,270,"[('walk', 'backwards')]",0,1,32
v_gBOWkZBlc8g_5_71,gBOWkZBlc8g,5.05,71.32,pass,back,A large group of people are seen swimming around an ocean while two men pass a soccer ball back and fourth to one another on the shore.,pass,backwards,1978,"[('pass', 'backwards')]",0,38,80
v_mNM01g9wLy4_18_58,mNM01g9wLy4,18.85,58.43,move,back, She moves her body back and fourth while still speaking to the camera.,move,backwards,1200,"[('move', 'backwards')]",0,0,83
v_aEopPs2eY-Q_33_86,aEopPs2eY-Q,33.78,86.1,walk,out, Ashley comes out getting dressed in her motor cross gear and slowly walks her bike out.,walk,out,1590,"[('walk', 'out')]",10,1,49
v_dUzqM38vwPI_95_191,dUzqM38vwPI,95.93,191.86,drive,up, A person is then seen riding behind a car on a snowboard while others drive up to speak to him and record his time.,drive,upwards,2303,"[('drive', 'upwards')]",5,34,404
v_bY2dgTJFWko_14_48,bY2dgTJFWko,14.77,48.75,jump,down, The person jumps down and is shown again doing flips.,jump,downwards,1019,"[('jump', 'downwards')]",2,3,5
v_PKYg6_rs3LQ_4_18,PKYg6_rs3LQ,4.34,18.68,chop,rapidly, They begin to rapidly chop stumps of wood on the ground.,cut,quickly,415,"[('cut', 'quickly')]",1,26,496
v_Q7R3ajucvyE_187_204,Q7R3ajucvyE,187.85,204.61,tilt,back, The man tilts back his head and closes his eyes to adjust the contact lens.,tilt,backwards,347,"[('tilt', 'backwards')]",0,17,52
v_XztphLXwZjU_0_63,XztphLXwZjU,0.0,63.48,place,quickly,"A man is indoors, quickly placing wood tiles onto a floor as the camera plays extremely fast.",put,quickly,1575,"[('put', 'quickly')]",1,13,109
v_-5Yp-vToI2E_27_92,-5Yp-vToI2E,27.37,92.01,move,continuously, The four continuously move together while holding hands and doing the same moves.,move,continuously,1558,"[('move', 'continuously')]",7,0,230
v_Wt7Ca_mHbL0_0_5,Wt7Ca_mHbL0,0.39,5.54,look,off,A man is seen standing on a diving board looking off into the distance.,look,off,125,"[('look', 'off')]",13,2,18
v_ZuuY0xffLYE_179_185,ZuuY0xffLYE,179.34,185.19,spin,slowly, The client spins slowly on the chair  to show of her hair style.,turn,slowly,152,"[('turn', 'slowly')]",8,7,391
v_Xz3F4x70qjQ_14_16,Xz3F4x70qjQ,14.99,16.1,extend,briefly, A hand briefly extends into the foreground and snaps.,extend,partially,30,"[('extend', 'partially')]",9,56,574
