clip_id,youtube_id,start_time,end_time,action,adverb,sentence,clustered_action,clustered_adverb,rgb_frames,action_adv,adverb_label,action_label,action_adv_label
video7264,yZIummTz9mM,79.96,101.36,sing,softly,a group of people meet in a music video as a man sings softly in a cylindrical tube,sing,gently,527,"[('sing', 'gently')]",12,9,127
video9244,A3Yj3q0QRLM,128.58,138.59,walk,outdoors,people are walking outdoors,walk,outdoor,300,"[('walk', 'outdoor')]",0,0,16
video8801,shohGIAFGHE,179.97,201.57,walk,forward,there are three man talking and walking forward,walk,forwards,550,"[('walk', 'forwards')]",13,0,116
video9406,x7PTbo4ZSW0,7.68,22.28,walk,outside,man in glasses talking and a large crowd walking outside,walk,outdoor,362,"[('walk', 'outdoor')]",0,0,16
video2292,1NZpa_uY680,273.21,291.53,dance,slowly,a woman is dancing slowly in a forest while a song is playing,dance,slowly,450,"[('dance', 'slowly')]",4,7,186
video4439,xUL4X2uwAwc,15.43,38.65,walk,in,a man in black is walking in to the lab,walk,in,692,"[('walk', 'in')]",3,0,31
video192,XFHxFzW8_sA,154.27,165.25,bend,forward,a man with thick curly hair wearing a black t-shirt is bending forward while talking in a white room with other people,bend,forwards,331,"[('bend', 'forwards')]",13,59,32
video9648,-IV6_zgVcT0,68.62,81.42,laugh,loudly,the man laughs loudly,laugh,loudly,313,"[('laugh', 'loudly')]",14,43,160
video3976,YyoXX7soF9o,136.61,151.77,drive,fast,a men is driving car very fast and while driving he is talking,drive,quickly,376,"[('drive', 'quickly')]",1,5,29
video3789,ZFcanpNarEg,144.53,164.73,drive,fast,a car rider is driving the care very fast,drive,quickly,500,"[('drive', 'quickly')]",1,5,29
video3579,TY14K-UluRQ,71.29,94.51,play,inside,two male children playing baseball inside of a house,play,indoor,691,"[('play', 'indoor')]",2,3,46
video6459,uZnMsB7vX6c,79.47,91.5,box,inside,two guys boxing inside of a ring,fight,indoor,360,"[('fight', 'indoor')]",2,25,352
video3950,4MwckY3YM_Y,50.41,61.73,singe,outside,a man playing a guitar and singing outside,sing,outdoor,275,"[('sing', 'outdoor')]",0,9,19
video6943,SQig5H_7uC4,23.11,37.25,sweep,back,a white young man with his blond hair swept back stands in a white room listening to music,brush,backwards,423,"[('brush', 'backwards')]",7,46,237
video6259,V09H08Q0UQA,13.93,32.41,run,quickly,track and field athletes run quickly around a track and over hurdles,run,quickly,475,"[('run', 'quickly')]",1,1,26
video5073,4MwckY3YM_Y,85.41,96.05,singe,outside,a man is playing the guitar and singing outside,sing,outdoor,275,"[('sing', 'outdoor')]",0,9,19
video2833,VK5ADL57j7Y,432.11,459.18,run,fast,theire is a car race going on all cars are running fast overtaking each other,run,quickly,810,"[('run', 'quickly')]",1,1,26
video2771,WLfPdOhD0qk,26.27,41.09,dance,inside,people are dancing inside,dance,indoor,452,"[('dance', 'indoor')]",2,7,68
video3043,XmOKkId7WAY,216.23,237.45,hit,backwards,a baseball player hits a ball backwards,hit,backwards,629,"[('hit', 'backwards')]",7,12,131
video4874,NyZPpGT6ptY,110.61,123.83,sit,outside,a man sings while sitting outside by the water,sit,outdoor,394,"[('sit', 'outdoor')]",0,8,64
video7434,j3Sk8ZnAiEA,309.32,320.3,prepare,outdoors,men are preparing food outdoors,make,outdoor,332,"[('make', 'outdoor')]",0,14,69
video7726,0xdJ9EKjvro,19.53,29.61,throw,back,the man was throwing back shots,throw,backwards,302,"[('throw', 'backwards')]",7,22,175
video9333,Iu2ZPHLqXuY,425.11,436.88,cook,outside,a man is cooking food on the grill outside,cook,outdoor,332,"[('cook', 'outdoor')]",0,11,76
video8740,Ayfw67yu6us,61.36,74.46,chant,outside,a group of people are chanting outside,sing,outdoor,312,"[('sing', 'outdoor')]",0,9,19
video6587,sgnREDcc0IY,107.09,129.18,walk,fast,a boys in red color dresses moving tyre and doing exercise running walking upstair down fast displaying on screen,walk,quickly,662,"[('walk', 'quickly')]",1,0,3
video3979,uPfqmFUdZr8,249.66,259.97,take,fast,a volks wagon car drives down the road and takes a curve pretty fast,take,quickly,301,"[('take', 'quickly')]",1,16,11
video5971,fyz2bryWD8g,155.3,168.45,talk,fast,fast talking academic heads make a failed attempt to be funny while targetting the teenage demographic,talk,quickly,391,"[('talk', 'quickly')]",1,2,33
video7182,TvdRRvuNUiM,566.29,581.77,pace,fast,two people are playing a fast paced game of table tennis and volleying the ball,walk,quickly,377,"[('walk', 'quickly')]",1,0,3
video6764,K49YyA-LmTc,0.0,30.0,drive,down,white truck driving down over rocks,drive,downwards,901,"[('drive', 'downwards')]",5,5,202
video7542,vjXoVak4ob0,366.31,392.25,play,outside,a young boy dressed like a cop plays with a blonde girl outside,play,outdoor,782,"[('play', 'outdoor')]",0,3,17
video5808,ZyxlUjZpaYc,34.42,63.23,stand,inside,people are standing around inside,stand,indoor,784,"[('stand', 'indoor')]",2,6,187
video4835,caeBs4S5XtI,0.0,30.0,look,down,a car runs its hood up as we look down on the machinery inside,look,downwards,899,"[('look', 'downwards')]",5,13,57
video4733,zsJpUCWfyPE,18.67,29.68,walk,in,there are some people is walking in to the shore,walk,in,331,"[('walk', 'in')]",3,0,31
video8170,xuJtaSnmgn0,82.75,95.08,run,quickly,in a virtual game of football a player runs down the field quickly,run,quickly,390,"[('run', 'quickly')]",1,1,26
video6441,VXvb3vw6BxQ,676.42,697.61,drive,fast,a red animated car drives fast through the highway with lots of cars,drive,quickly,631,"[('drive', 'quickly')]",1,5,29
video1267,wJT_v5sRilM,49.21,69.93,look,down,while sitting by bookcases a woman looks down occasionally when asking a question and a man looks up and to the side occasionally when answering the question,look,downwards,502,"[('look', 'downwards')]",5,13,57
video9759,PsyR-hbnfVg,68.12,78.13,place,inside,someone opening plastic easter egg to place a toy inside,put,indoor,301,"[('put', 'indoor')]",2,18,114
video1558,bAwMYCHwge4,240.05,250.05,singe,softly,a girl with a star wars shirt is singing softly,sing,gently,302,"[('sing', 'gently')]",12,9,127
video8694,WgN5az6UWu0,12.59,23.44,turn,almost,the van driives over the dirt as it almost turns over,turn,partially,333,"[('turn', 'partially')]",10,19,278
video3822,PqxH9iXUDf0,13.8,28.08,play,outside,a musical group plays outside while a man sits in an office with a headset on,play,outdoor,377,"[('play', 'outdoor')]",0,3,17
video741,xW28F8QRVVo,255.3,265.45,move,fast,beautiful scenery moving fast as men dig tunnels,move,quickly,301,"[('move', 'quickly')]",1,4,44
video9147,tmOO7zCJHVM,431.45,460.53,drive,in,the two people  are driving in very fast and they are talking some matter in serious,drive,in,727,"[('drive', 'in')]",3,5,274
video9823,t_SpRpVIzkc,138.89,167.65,tackle,hard,various men being tackled hard during rugby matches,fight,firmly,872,"[('fight', 'firmly')]",8,25,184
video7854,sTieiyDf_Rg,4.69,23.17,talk,outside,a guy talks outside in the snow at a ski resort,talk,outdoor,570,"[('talk', 'outdoor')]",0,2,6
video8431,yJuO5qDJDFo,66.41,80.85,drive,fast,a black car drives very fast around curves and through obstacles of tires,drive,quickly,352,"[('drive', 'quickly')]",1,5,29
video8694,WgN5az6UWu0,12.59,23.44,drive,fast,a van drives really fast through a parking lot and another van goes offroad,drive,quickly,333,"[('drive', 'quickly')]",1,5,29
video1594,_1E6EUrnXZs,230.34,242.39,sit,outdoors,video of a couple sitting outdoors and being happy,sit,outdoor,359,"[('sit', 'outdoor')]",0,8,64
video2379,wRdBrwEDq-U,17.01,40.21,play,in,in the cort the table tennis players are played in very well the colour of the back ground is blue,play,in,577,"[('play', 'in')]",3,3,73
video2472,rdhF5w7ZH7Y,91.91,104.85,run,up,guy running up on stage,run,upwards,390,"[('run', 'upwards')]",9,1,139
video5377,YBmmD1Icpjw,100.55,111.79,run,fast,the camera is running fast showing all the way forestslandscapes and gardens,run,quickly,330,"[('run', 'quickly')]",1,1,26
video6317,sWU3LpjYp7M,13.96,35.48,run,fast,a formula one race car is running very fast and its flying very beautifully amazing,run,quickly,660,"[('run', 'quickly')]",1,1,26
video6391,xBYszi0S8OA,191.07,209.51,stir,inside,someone is stirring food inside of a pot,mix,indoor,432,"[('mix', 'indoor')]",2,15,74
video4285,y9oQAnpeuUo,563.05,574.81,move,slowly,a train slowly moving around a scenic body of water with mountains around,move,slowly,276,"[('move', 'slowly')]",4,4,100
