clip_id,youtube_id,start_time,end_time,action,adverb,sentence,clustered_action,clustered_adverb,rgb_frames,action_adv,adverb_label,action_label,action_adv_label
video6943,SQig5H_7uC4,23.11,37.25,sweep,back,a white young man with his blond hair swept back stands in a white room listening to music,brush,backwards,423,"[('brush', 'backwards')]",7,46,237
video3404,ZARtmEwdKV8,344.47,355.19,comb,back,a man back combs to make a nineteen-twenties look,brush,backwards,264,"[('brush', 'backwards')]",7,46,237
video3958,xfOwSTXP-3o,121.57,133.01,immerse,fully,a car immersed fully in water and the mechanic explaning how the car mechanism is working to wade away the water,dip,completely,302,"[('dip', 'completely')]",15,45,265
video9514,WtnAuXW81cM,11.33,23.14,roll,completely,the inside of a white car interrior with it s windows completely rolled up,roll,completely,361,"[('roll', 'completely')]",15,29,434
video7551,Y5apMcmeS7I,483.25,500.45,climb,down,a person climbs down in steps which is being surrounded by trees,climb,downwards,255,"[('climb', 'downwards')]",5,57,383
video8071,ZMMUzLJOeuc,225.17,238.3,climb,up,several people climbing a long vein high up in the air,climb,upwards,313,"[('climb', 'upwards')]",9,57,21
video112,w0lH7HibIwA,181.56,195.58,climb,up,these people in blue jackets with helmets  are moving climbing the grass lands high up and then sliding down at a very tremendous speed on the skate boards,climb,upwards,336,"[('climb', 'upwards')]",9,57,21
video5906,1azoVsL-S3s,28.41,45.18,hide,down,he hid down in a ditch,cover,downwards,510,"[('cover', 'downwards')]",5,31,337
video6764,K49YyA-LmTc,0.0,30.0,drive,down,white truck driving down over rocks,drive,downwards,901,"[('drive', 'downwards')]",5,5,202
video2772,0vKbLD6_C8k,234.0,249.24,drive,down,a car driving down quickly on a street,drive,downwards,375,"[('drive', 'downwards')]",5,5,202
video6375,yyMpZyF1VDg,423.04,448.43,drive,up,an orange classic sports car drives up on sidewalk to avoid oncoming traffic on road,drive,upwards,750,"[('drive', 'upwards')]",9,5,318
video7912,D4QnQBkdgrU,67.4,77.61,drive,up,man in cartoon drives car up to pier upon he and son exiting they push vehicle into water,drive,upwards,300,"[('drive', 'upwards')]",9,5,318
video5587,90GOQxI_7Zc,717.1,728.64,drive,up,the truck drove up,drive,upwards,331,"[('drive', 'upwards')]",9,5,318
video9396,WRW4KCcwP9g,0.0,27.44,drive,up,the red truck drive up to the cars and then they all drive away,drive,upwards,811,"[('drive', 'upwards')]",9,5,318
video6107,uYk_bOoAIhc,792.11,812.68,tumble,down,a subscribe button tumbles down from the top of the screen and enlarges then decreases in size,fall,downwards,601,"[('fall', 'downwards')]",5,21,345
video3047,ZGTe7BEsB60,165.65,181.06,fall,up,water drops are seen falling close up and an egg crushed by a hand,fall,upwards,480,"[('fall', 'upwards')]",9,21,221
video5953,b89_PDSMf3I,84.93,95.93,fly,down,a man appears to fly upside down while a woman walks around in a dress,fly,downwards,276,"[('fly', 'downwards')]",5,27,295
video4798,ZXTCtpdY6b0,105.67,116.92,fly,down,a helicopter flies through the skies upside down in a game,fly,downwards,265,"[('fly', 'downwards')]",5,27,295
video6146,sNoAyBzCeSk,187.85,199.93,fly,up,a vehical moving on raod and bridge scene and bird flying up on clouds displaying on screen,fly,upwards,302,"[('fly', 'upwards')]",9,27,286
video4500,yQBKQEbAw0k,225.51,248.03,fly,up,shows a cardinals player up to bat he swings and clips the end of the wooden bat the white ball flies up onto the dug out roof,fly,upwards,689,"[('fly', 'upwards')]",9,27,286
video8007,SGSE_XPF4_g,124.17,147.19,hit,down,the woman with muscular body hits the man down,hit,downwards,552,"[('hit', 'downwards')]",5,12,91
video885,yQJptpmgIUE,79.96,93.72,slap,down,the korean actor is happily thinking about the time when the woman slapped his hand down,hit,downwards,356,"[('hit', 'downwards')]",5,12,91
video8219,VhlrtvNsxP0,127.11,140.05,pound,down,a wrestler makes a huge jump then gets pounded back down,hit,downwards,391,"[('hit', 'downwards')]",5,12,91
video7034,SeXGoxN9B70,76.92,93.52,hold,down,a man holding a doll upside down and talking about videos,hold,downwards,410,"[('hold', 'downwards')]",5,17,248
video3599,xIOwwi1Ei7U,17.58,40.21,hold,down,a clip of two cats one holding the other down,hold,downwards,690,"[('hold', 'downwards')]",5,17,248
video9684,w8QjQL-LWGE,31.04,47.18,hold,down, white onion is cut in half then a cut half is placed flat against a surface with the curved part held down with fingertips for further slicing,hold,downwards,383,"[('hold', 'downwards')]",5,17,248
video141,TASGl0_jnjU,233.21,248.33,hold,up,it is dance programe where one male and on female do the performance  the girl is attractive dress turn to her left where the man stand and goes near him and he lift her with his right hand and hold her and she held her one leg straight up and another down after few minutes she roll herself and come to normal stage and walk and stand nearby another pair is standing,hold,upwards,375,"[('hold', 'upwards')]",9,17,28
video5761,C4icy-aPRSk,851.48,862.25,jump,down,guy jumps down from a platform on minecraft,jump,downwards,331,"[('jump', 'downwards')]",5,24,326
video1287,zGe-ZpsZ124,15.06,27.24,jump,up,a coach throws a volleyball up by the net and a female player runs swings up her arms jumps up with bent knees and spikes the ball over the net,jump,upwards,360,"[('jump', 'upwards')]",9,24,110
video4835,caeBs4S5XtI,0.0,30.0,look,down,a car runs its hood up as we look down on the machinery inside,look,downwards,899,"[('look', 'downwards')]",5,13,57
video1267,wJT_v5sRilM,49.21,69.93,look,down,while sitting by bookcases a woman looks down occasionally when asking a question and a man looks up and to the side occasionally when answering the question,look,downwards,502,"[('look', 'downwards')]",5,13,57
video8076,ROipDjNYK4k,410.96,422.76,look,down,a character opens the door then looks down at an alarm clock,look,downwards,288,"[('look', 'downwards')]",5,13,57
video712,USEpUcdqciQ,97.21,109.93,look,downwards,a man is looking downwards and speaking to another man he is wearing a black vest,look,downwards,300,"[('look', 'downwards')]",5,13,57
