clip_id,youtube_id,start_time,end_time,action,adverb,sentence,clustered_action,clustered_adverb,rgb_frames,action_adv,adverb_label,action_label,action_adv_label
video4123,u7YAXBEPqyM,136.72,147.76,bring,back,a dog running out to the middle of a stream picking up a fish and bringing it back to his master,carry,backwards,330,"[('carry', 'backwards')]",7,33,170
video1996,UdvLIKlrVyM,166.73,189.37,drive,back,a man describes a car while driving it back in the 80 s,drive,backwards,575,"[('drive', 'backwards')]",7,5,85
video905,YbkhZeXT67s,79.31,108.18,fall,back,the baby monkey wakes up and begins to scratch himself then falls back to sleep,fall,backwards,871,"[('fall', 'backwards')]",7,21,93
video5069,ZMN2Bs_Cr1A,501.13,513.77,fall,backwards,a young man bouncing a basketball walks into another young man wearing a red cap the man with the ball falls backwards onto the ground,fall,backwards,288,"[('fall', 'backwards')]",7,21,93
video3225,sKPrwY0Ycno,10.36,36.35,fly,backwards,flying backwards scene take form a lake to the mountains nice music,fly,backwards,781,"[('fly', 'backwards')]",7,27,149
video1607,RCC9NSJURiE,31.49,47.97,knock,back,a child laying in a bed knocking back on a wall and texting on her phone,hit,backwards,400,"[('hit', 'backwards')]",7,12,131
video1776,X8PFRnQEQ2Q,170.46,186.84,knock,back,a character gets knocked back into a collapsing building by enemies,hit,backwards,387,"[('hit', 'backwards')]",7,12,131
video5855,vGCbTgJ2yH0,34.55,52.57,hold,back,a person is hold her hair back to take a picture,hold,backwards,540,"[('hold', 'backwards')]",7,17,332
video4204,sgniqTxbPbE,47.01,59.58,jump,backwards,a girl jumps backwards on a trampolin,jump,backwards,361,"[('jump', 'backwards')]",7,24,251
video3545,sWBKCzzNEeo,0.0,15.29,look,back,a woman in a baseball hat turning in slow motion to look at a man running away then looking back at the camera,look,backwards,375,"[('look', 'backwards')]",7,13,245
video8598,SHb8K2Uo9sU,8.37,30.05,look,forward,a potato sits on a conveyor belt and looks forward to becoming a chip,look,forwards,551,"[('look', 'forwards')]",13,13,225
video5060,1Kd6WXb9Y7k,428.98,443.75,scroll,back,the man scrolls the zoom back and fourth,move,backwards,450,"[('move', 'backwards')]",7,4,229
video5783,Aynyb0hP8Vk,42.25,54.65,move,forward,a car is moving forward slowly,move,forwards,362,"[('move', 'forwards')]",13,4,63
video2772,0vKbLD6_C8k,234.0,249.24,move,forward,a view of a cars dash cam the car is moving forward,move,forwards,375,"[('move', 'forwards')]",13,4,63
video3573,TbGI-o41r0o,159.55,170.38,move,forward,the man in the animation is moving forward,move,forwards,265,"[('move', 'forwards')]",13,4,63
video6105,XAvzk5qFVNY,133.68,145.56,move,fowards,a baby with a pink hat and winter wear stands upon an outside track moving fowards,move,forwards,361,"[('move', 'forwards')]",13,4,63
video7536,YqftgelsUfk,237.28,248.5,pull,back, with braided black hair pulled back stands in front of a horizontal screen showing gray sharks swimming in blue water,pull,backwards,332,"[('pull', 'backwards')]",7,20,104
video1978,YaCPCWyxcLo,164.53,192.61,pull,back, with her black hair pulled back lifts a white shuttlecock above her forehead while her other arm is extending lower in the opposite direction,pull,backwards,702,"[('pull', 'backwards')]",7,20,104
