clip_id,youtube_id,start_time,end_time,action,adverb,sentence,clustered_action,clustered_adverb,rgb_frames,action_adv,adverb_label,action_label,action_adv_label
v_mTsEJFP3W1A_107_206,mTsEJFP3W1A,107.22,206.19,add,back,The pieces are then added back on the bike and tightened around the wheel.,add,backwards,2378,"[('add', 'backwards')]",0,68,454
v_2oc0OBWkYfg_14_31,2oc0OBWkYfg,14.63,31.62,comb,back,  Now they are brushing and combing her hair back.,brush,backwards,512,"[('brush', 'backwards')]",0,33,539
v_ToLMOwlrgm0_19_59,ToLMOwlrgm0,19.69,59.08,comb,back, He gives the brush to the woman who bends down and back combs her hair.,brush,backwards,1202,"[('brush', 'backwards')]",0,33,539
v_ct3uprBbPHw_3_21,ct3uprBbPHw,3.17,21.41,comb,forward,"A man stands in front of the camera, then starts combing his hair forward.",brush,forwards,542,"[('brush', 'forwards')]",4,33,199
v_gKLbdLKEG6U_198_231,gKLbdLKEG6U,198.97,231.36,carry,back, They then pick up their raft and carrying it back to their van before loading up to leave.,carry,backwards,989,"[('carry', 'backwards')]",0,21,24
v_iN1DEIADG9o_4_50,iN1DEIADG9o,4.13,50.89,bring,back,  A man throws a red frisbee at a white and brown dog and the dog catches it and brings it back.,carry,backwards,1380,"[('carry', 'backwards')]",0,21,24
v_xAMZGWqRmqE_4_43,xAMZGWqRmqE,4.45,43.87,bring,back, The man threw the frisbee and the  dog catch it and bring back to the man.,carry,backwards,1169,"[('carry', 'backwards')]",0,21,24
v_xAMZGWqRmqE_39_63,xAMZGWqRmqE,39.42,63.58,bring,back, The man wiped the frisbee and then threw it again and the dog caught and brought it back to the owner.,carry,backwards,720,"[('carry', 'backwards')]",0,21,24
v_55bimE5eU9E_88_93,55bimE5eU9E,88.83,93.95,bring,back, She brings the bar back over her head and drops it down to the ground.,carry,backwards,151,"[('carry', 'backwards')]",0,21,24
v_Pso333FAp2w_92_130,Pso333FAp2w,92.85,130.78,bring,back, Once he see's the frisbee flying he starts to run for it and brings it back every time.,carry,backwards,911,"[('carry', 'backwards')]",0,21,24
v_xAMZGWqRmqE_6_19,xAMZGWqRmqE,6.36,19.07,bring,back," The man throws the Frisbee , the dog catches it and brings it back.",carry,backwards,390,"[('carry', 'backwards')]",0,21,24
v_J-uW8raljqE_12_119,J-uW8raljqE,12.53,119.37,bring,back," The man in black shirt threw the frisbee in the green field and the dog chase after it and bring it back to the man, the man continue to threw the frisbee and the dog keep chasing it and return it to the man.",carry,backwards,3207,"[('carry', 'backwards')]",0,21,24
v_NK5FWZ2BOQs_47_55,NK5FWZ2BOQs,47.79,55.21,bring,back, The dog brings the frisbee back to the man.,carry,backwards,240,"[('carry', 'backwards')]",0,21,24
v_FxGXQIH3-RQ_26_40,FxGXQIH3-RQ,26.37,40.75,bring,back," The man throws a frisbee and the dog runs, catches it and brings it back.",carry,backwards,416,"[('carry', 'backwards')]",0,21,24
v_lMbDEY-CVwE_91_144,lMbDEY-CVwE,91.66,144.54,bring,back, The dog runs off screen and brings back the frisbees.,carry,backwards,1328,"[('carry', 'backwards')]",0,21,24
v_Pso333FAp2w_15_53,Pso333FAp2w,15.69,53.62,bring,back," The dog excitedly runs after it and come running back with it, bringing it back to his human.",carry,backwards,911,"[('carry', 'backwards')]",0,21,24
v_zyh16NahocQ_65_78,zyh16NahocQ,65.71,78.66,bring,back, She brings the blow dryer box back into view.,carry,backwards,392,"[('carry', 'backwards')]",0,21,24
v_DU36SNYN-rw_27_64,DU36SNYN-rw,27.6,64.03,bring,back, The man starts playing with the dog by throwing the think and having him bring it back.,carry,backwards,925,"[('carry', 'backwards')]",0,21,24
v_9njq_aC4AS4_17_27,9njq_aC4AS4,17.83,27.39,bring,back,  The dog ran away with the frisbee but brought it back to the woman.,carry,backwards,301,"[('carry', 'backwards')]",0,21,24
v_QooDDNWaQjU_5_60,QooDDNWaQjU,5.0,60.88,bring,back, The dog catches the Frisbee and brings it back to the trainer.,carry,backwards,1650,"[('carry', 'backwards')]",0,21,24
v_ibDWgL2D2l4_8_23,ibDWgL2D2l4,8.24,23.25,bring,back, Older women the bring hr back and have her hand the stick to another child.,carry,backwards,450,"[('carry', 'backwards')]",0,21,24
v_QJfuxpFMn8s_109_114,QJfuxpFMn8s,109.98,114.37,bring,back, A man comes and takes the boxes and brings back a trash can.,carry,backwards,75,"[('carry', 'backwards')]",0,21,24
v_yPEf9ajKwI8_167_216,yPEf9ajKwI8,167.05,216.95,bring,back, Once the floor is done they bring back all the furniture.,carry,backwards,735,"[('carry', 'backwards')]",0,21,24
v_DQLotF3P9Fc_159_166,DQLotF3P9Fc,159.69,166.46,bring,back, He then flexes his muscle as the other man in blue goes to bring the shot put ball back.,carry,backwards,169,"[('carry', 'backwards')]",0,21,24
v_QE80ROTC_fI_34_103,QE80ROTC_fI,34.32,103.7,bring,back, The man throws the frisbee around with the dog while the animal brings it back.,carry,backwards,1727,"[('carry', 'backwards')]",0,21,24
v_W40iaV960sw_0_4,W40iaV960sw,0.0,4.41,bring,forward,"The camel is sitting on the ground, but then the man puts on his glasses while he's sitting on the camel as it lifts up bringing the man forward a little bit.",carry,forwards,120,"[('carry', 'forwards')]",4,21,218
v_iKH8FgONbVw_14_25,iKH8FgONbVw,14.48,25.63,bring,forward," Then, the man bring his body to a straight position, then again bring his body forward.",carry,forwards,334,"[('carry', 'forwards')]",4,21,218
v_8fLHaW3YvJY_19_47,8fLHaW3YvJY,19.24,47.04,bring,forward," He brings forward the blue large shovel looking gadget, still talking and then grabs another shovel.",carry,forwards,844,"[('carry', 'forwards')]",4,21,218
v_FPv0qnoQbq0_29_42,FPv0qnoQbq0,29.92,42.78,climb,back, He ties the animal up and climbs back on the horse.,climb,backwards,389,"[('climb', 'backwards')]",0,18,4
v_GMHzZXAQzIA_70_97,GMHzZXAQzIA,70.33,97.69,climb,back, Then she climbs her way back to the end and that is her last destination.,climb,backwards,813,"[('climb', 'backwards')]",0,18,4
v_GMHzZXAQzIA_29_70,GMHzZXAQzIA,29.31,70.33,climb,back," Then, the little girl rest a little bit and then climb back the monkey bars.",climb,backwards,1232,"[('climb', 'backwards')]",0,18,4
v_5t_hQVg9NsE_21_74,5t_hQVg9NsE,21.04,74.38,climb,back, The kids are then shown in several clips performing dives off a board and walk along the sides climbing back to the top.,climb,backwards,1589,"[('climb', 'backwards')]",0,18,4
v_s3EHHOAkQYE_143_225,s3EHHOAkQYE,143.02,225.26,climb,back, The car continues to follow and help the man as well as stopping to change a wheel and climbing back in the car.,climb,backwards,2459,"[('climb', 'backwards')]",0,18,4
v_IoiDAHNryTk_19_47,IoiDAHNryTk,19.99,47.04,climb,back, She climbs her way back on the bars and jumps down mid way through.,climb,backwards,838,"[('climb', 'backwards')]",0,18,4
v_oJCB2Zglcq4_19_42,oJCB2Zglcq4,19.46,42.69,climb,back, The man ties up the calf after it's caught and climbs back on the horse while another unties the calf.,climb,backwards,689,"[('climb', 'backwards')]",0,18,4
v_ayXuNcjC8wk_19_36,ayXuNcjC8wk,19.43,36.41,climb,back, She climbs all the way back and jumps down with her arms up.,climb,backwards,510,"[('climb', 'backwards')]",0,18,4
v_o8ja3mhecQI_8_17,o8ja3mhecQI,8.09,17.23,climb,back,"  While on the ground she grabs a resistance band, loops it around her arm and climbs back on the pull up bars.",climb,backwards,273,"[('climb', 'backwards')]",0,18,4
v_7XGimCWcafc_104_140,7XGimCWcafc,104.98,140.71,climb,back," While the tire is being replaced, the driver climbs back into the truck, and a specator takes a picture of the vehicle.",climb,backwards,1079,"[('climb', 'backwards')]",0,18,4
v_0vQs3ztG7vg_16_37,0vQs3ztG7vg,16.32,37.97,climb,back, He climbs back towards the beginning and meets another child waiting.,climb,backwards,630,"[('climb', 'backwards')]",0,18,4
v_jM3Buw2Kidk_41_124,jM3Buw2Kidk,41.6,124.18,climb,back, He climbs back on the board and continues riding along while the camera pans out.,climb,backwards,1245,"[('climb', 'backwards')]",0,18,4
v__fwExctFJpg_44_55,_fwExctFJpg,44.41,55.17,climb,back, He throws his hands up in the air while the calf moves and then climbs back on top of the horse.,climb,backwards,332,"[('climb', 'backwards')]",0,18,4
v_ucR3VztMyeE_1_26,ucR3VztMyeE,1.38,26.61,climb,forward, She starts climbing forward to the end.,climb,forwards,750,"[('climb', 'forwards')]",4,18,451
